2025-09-02 10:47:14 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:14 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第2获取成功！！！
2025-09-02 10:47:14 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第3页数据
2025-09-02 10:47:15 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:15 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第3获取成功！！！
2025-09-02 10:47:15 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第4页数据
2025-09-02 10:47:16 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:16 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第4获取成功！！！
2025-09-02 10:47:16 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第5页数据
2025-09-02 10:47:16 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:16 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第5获取成功！！！
2025-09-02 10:47:16 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第6页数据
2025-09-02 10:47:16 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:16 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第6获取成功！！！
2025-09-02 10:47:16 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第7页数据
2025-09-02 10:47:17 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:17 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第7获取成功！！！
2025-09-02 10:47:17 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第8页数据
2025-09-02 10:47:17 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:17 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第8获取成功！！！
2025-09-02 10:47:17 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第9页数据
2025-09-02 10:47:17 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:17 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第9获取成功！！！
2025-09-02 10:47:17 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第10页数据
2025-09-02 10:47:17 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:17 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第10获取成功！！！
2025-09-02 10:47:17 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第11页数据
2025-09-02 10:47:18 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:18 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第11获取成功！！！
2025-09-02 10:47:18 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第12页数据
2025-09-02 10:47:18 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:18 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第12获取成功！！！
2025-09-02 10:47:18 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第13页数据
2025-09-02 10:47:18 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:18 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第13获取成功！！！
2025-09-02 10:47:18 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:84 : 正常采集第14页数据
2025-09-02 10:47:18 | INFO | extra_reqlog.py:12 : 在<frame at 0x0000028E6AEA2440, file 'C:\\Users\\admin\\Desktop\\yiyuan_spider\\TaoBaoLianMengApi\\TaoKeDataAnalysisApi.py', line 87, code tb_tk_my_enrolled_products>发起了调用,请求成功（status_code:200）
2025-09-02 10:47:18 | SUCCESS | TaoKeDataAnalysisApi.py:88 : 第14获取成功！！！
2025-09-02 10:47:18 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:99 : ----------------------------------------------------------------------------------------------------
2025-09-02 10:47:18 | INFO | tb_tk_淘宝联盟_服务商合作_普通招商_我报名的活动_报名的商品.py:100 : 
************************************************************************************************************************
